nco_code,title,description
2636,Religious Professionals,"Code 2632 Title Sociologists, Anthropologists and Related Professionals 2632.0300 Clinical Sociologist Clinical Sociologist develops and implements corrective procedures to alleviate group dysfunctions: Confers with individuals and groups to determine nature of group dysfunction. Observes group interaction and interviews group members to identify problems related to factors such as group organization, authority relationships, and role conflicts. Develops approaches to solution of group's problems, based on findings and incorporating sociological research and study in related disciplines. Develops intervention procedures, utilising techniques such as interviews, interaction, to facilitate resolution of group problems. Monitors group interaction and role affiliations to evaluate progress and to determine need"
2632.0200,for additional change.,"ISCO 08 Unit Group Details: Code 2632 Title Sociologists, Anthropologists and Related Professionals physical measurements of body. Conducts bio-chemical studies of different parts of body to isolate and identify characteristics of cellular structure of different parts of geographic regions determination of political boundaries and related problems. May specialize in any branch of geography such as study of relationship of economic selection of their career and courses, inter-personal relationship etc. May teach in institutions and do research work or perform administrative services. May assist Psychiatrist or Physician in diagnosing and treating mental cases. May be known as CHILD PSYCHOLOGIST, PSYCHOPATHOLOGIST, etc., according to and area of specialisation in which engaged. or ISCO 08 Unit Group Details: Title Psychologists"
2634.0100,,"2634.0200 Psychometrist Psychometrist; administers, score; and interprets intelligence, aptitude, which achievement and other psychological tests. Acquires necessary psychological tests and keeps them in his personal and custody. Gives psychological tests to individuals, as required by situation, under standard conditions. Times tests and DIRECTOR OR STUDIO DIRECTOR, ISCO 08 Unit Group Details: and Producers 2654.0200 Director, Music Music Director selects music, singers and instrumental musicians in consultation with Director Theatrical and Music Composer for purposes of stage or film production and directs effective rendering television production research department, and conducts research on various subjects to ensure historical authenticity of productions: Researches specific period, locality or historical event to obtain authentic background for production, such as customs, speech characteristics, or dress, and architectural style of era. Advises members of production staff on matters relating to historical details of subject being photographed or recorded. Reviews and collects data, such as books, pamphlets, Occupations in this Sub Division are classified into the following Groups: 311 Physical and Engineering Science Technicians 312 Mining, Manufacturing and Associate Professionals 311 Physical and Engineering Science Technicians Information and Communications Technicians 312 Mining, Manufacturing and Construction Supervisors 313 Process Control Technicians 31 314 Life Science Technicians and Related Associate Professionals 315 Ship and Aircraft Controllers, and Technicians"
3113,Electrical Engineering Technicians,"maintain account of instruments,"
3114,Electronics Engineering,"equipment, apparatus etc., if required. Technicians"
3115,Mechanical Engineering,ISCO 08 Unit Group Details: Technicians Code 311 Title Physical and Engineering Science
3116,Chemical Engineering Technicians,Technicians
3117,Mining and Metallurgical,Technicians 3111.0200
3118,Draughtspersons,"Laboratory Assistant, Soil"
3119,Physical and Engineering Science,"Technicians, Not Elsewhere Laboratory Assistant, Soil sets up Classified in laboratory as and when required either in field or permanent location utilizing the help and services of level‐1 Technician periodic preventive maintenance activities. He is to also ensure effective fault management in case of fault occurrence and periodically carry out upgrade, capacity augmentation activities as per transmission plan with no/minimal disruption of services. QP NOS Reference TEL/Q6203 QP NOS Name Transmission Engineer"
3114.1101,NSQF Level,6 ISCO 08 Unit Group Details: Code 3114 Title Electronics and Telecommunications Engineering Technicians 3114.1301 Network Management Engineer Network Management Engineer is responsible for provisioning of end to end circuit and managing network elements from a Centralized server called Network Management System. Qualification Pack Details: QP NOS Reference TEL/Q6302 QP NOS Name Network NSQF Level 5 ISCO 08 Unit Group Details:
3114.1201,Code 3114,"Title Electronics and Telecommunications Engineering Equipment engaged in various mining and quarrying all other operations and ensures compliance with in optical and safety and mining rules and regulations. operations not Collects information of workers present on duty in his section and allots duties to different Sirdars or head workmen according to nature of tasks to be compliance with mining rules and regulations in his section. Visits different necessary and collects necessary information. Keeps in touch with surface, if working underground, arranges proper loading and unloading, dewatering and and Construction other mining operations. Maintains supervise, prescribed records, submits returns and the activities of ensures proper discipline, within his mining and section. Co-ordinates functions with other May be other metal refining"
3122.0200,,"directs and furnace for Directs Stock to charge raw material manganese temperature removing slag slag samples for prescribed specifications. workers. May design paper flowers, toys and novelties. or machined pieces and joints and article to be ISCO 08 Unit Group Details: supervised. Checks Code 3122 Title Manufacturing Supervisors as necessary. Examines 3122.2800 Jobber (Textile) and gets defects removed Maintains necessary Jobber (Textile) supervises workers in specified section of textile plant and maintains machines and equipment in work or evolve new peak operating order. Plans work procedures and allocation of workers in production or section accord with production goals and availability of machines. Sets-up and adjusts looms and other machines to best performance before turning over to operation and avoid production delays."
3122.2600,,"Assembles and distributes raw materials and supplies. Moves constantly about in work area to supervise workers and examines work performed to assure that quality and quantity standards are being Making supervises met. Introduces changes in manufacturing of paper and paper board processes as directed. Maintains simple various manual and production records. Controls tools in tool room, enforces fire and safety regulations Studies details of articles to and transmits workers' grievances to arrange, for necessary higher authority. May assist in overhauling, repairing and erecting or set accordingly. Guides dismantling of machinery. May be cutting, folding, trimming, designated as JOBBER, CARDING; JOBBER, Mache to required SPINNING; FANCY JOBBER; JOBBER, COMBING; JOBBER, DOFFING; SIDE JOBBER; LINE JOBBER; JOBBER, REELING, JOBBER, DRAWING; JOBBER, SIZING; correct production. Keeps JOBBER, DYEING; etc. according to work supervises manufacture of bristles, nylon and other types of brushes, and ensures correct production. Studies specifications of type of brush to be made and instructs Foreman, Checking, measures regarding placement of gas and Related Activities cylinders, use of rubber gloves, welding of workers shields, etc., and guides workers as sorting, weighing, necessary to achieve desired finish, size strengths, shape and other factors as automatic or manual specified. Checks welded or cut part with appropriate testing and measuring instruments and gets defects removed or instructs workers rectified, if possible. Ensures maintenance set machines and of welding sets, torches, gas cylinders etc., manual tasks as and maintains scheduled production and supply or speed of discipline in section. May maintain according to production and material records and registers. of sequence of ISCO 08 Unit Group Details: Code 3122 Relieves workers as Title Manufacturing Supervisors fatigue and keeps in working entrants. Maintains 3122.4300 Supervisor and Foreman, Sheet and Supervisor and Foreman, Sheet and workers, guides them as necessary and"
3122.4200,,"ensures production to required specifications. Studies drawings related specifications of sheet and structural metal work to be done and plans machine, bench and hand tool Welding and operations to suit working. Explains tasks welding and to be performed to workers, guides setting of shearing, handing, rolling, profiling other machines, sizes required, customer’s requirement Polishing Supervisor is in charge running the day-to-day work flow and processes of the faceting and polishing department. The individual on this job, allocates work G&J/Q4707 to Polishing subordinate workers, trains and educates them, instructs about the job to be 3 performed on daily basis, checks quality of output, manages team and systems, carries out performance appraisal, to produce lots of faceted and polished"
3122.6509,,"diamonds as per company’s objectives Customer’s requirement and delivers on time. or Grading Supervisor, supervisor is in Qualification Pack Details: QP NOS Reference G&J/Q6707 of the final assortment QP NOS Name Supervisor individual at work Faceting and Polishing to subordinate workers, NSQF Level 3"
3131,Power Production Plant Operators,ISCO 08 Unit Group Details:
3132,Incinerator and Water-Treatment,Code 3131 Plant Operators Title Power Production Plant Operators
3133,Chemical Processing Plant,Controllers 3131.0200
3134,Petroleum and Natural Gas,"Stationary Engine Driver, Internal Refining Plant Operators Combustion"
3135,Metal Production Process,"Controllers Stationary Engine Driver, Internal Combustion; I.C. (Internal Combustion)"
3139,"Process Control Technicians, Not","Engine Driver; Stationary Engine Operator, Elsewhere Classified 3151 Ship’s Engineers Associate Professionals"
3142.9900,3154,"Air Traffic Controllers 3155 Air Traffic Safety Electronics Technicians vessel outside confined waters and assists Captain, Ship in navigating, manoeuvring vessel safely into port, assists Captain also in manoeuvring vessel when leaving port. 321 Medical and Pharmaceutical Technicians 322 Nursing and Midwifery Associate Professionals 323 Traditional and Complementary Medicine Associate Professionals 324 Veterinary Technicians and Technicians Assistants concerning the 325 Other Health Associate Professionals Operation Theatre Technician performs members to place and position patient on table. Scrubs arms and hands and dons gown and gloves. Aids team to don gowns and gloves. Maintains supply of fluids, such as plasma, saline, blood, and glucose for use during operation. Hands performs other tasks as directed by surgeon during operation. Puts dressings on patient following surgery. Counts"
3211.9900,"sponges, needles, and instruments before","and after operation. Washes and sterilises equipment, using germicides sterilizers. Cleans operating room. other in Qualification Pack Details: to QP NOS Reference HSS/Q2601 QP NOS Name Operation Theatre Technician NSQF Level 4 Title Medical and Pathology Laboratory Technicians 3212.0201 Dialysis Technician QP NOS Reference HSS/Q2801 QP NOS Name Blood Bank Technician ISCO 08 Unit Group Details: Code 3212"
3212.0601,Title Medical and Pathology Laboratory,"Technicians (PBT) in the 3212.0701 also known as Medical Laboratory Technician samples from Medical Laboratory Technician (MLT) is also referred to as Clinical Laboratory Science professionals, Medical Technologists and Medical Laboratory Scientists. The Medical Laboratory Technician performs complex tests for diagnosis, treatment, and prevention of disease. These professionals are responsible for supporting and assisting doctors and scientists in their day-today function as the main support to biomedical scientists in pathology laboratories. They are also sometimes responsible for imparting training and supervision to the staff."
3212.0602,,"Qualification Pack Details: QP NOS Reference HSS/Q0301 QP NOS Name Medical Laboratory as Phlebotomy Technician Bank Laboratory NSQF Level 4 3251 Dental Assistants and Therapists laboratory experimental tests 3252 Medical Records and Health Information Technicians 3253 Community Health Workers processes. 3254 Dispensing Opticians and identifies 3255 Physiotherapy Technicians and and other micro- Assistants 3256 Medical Assistants 3257 Environmental and Occupational Health Inspectors and Associates 3259 Modern Health Associate Professionals, Not Elsewhere"
3240.9900,,Classified Securities and Finance Dealers and Brokers Credit and Loan Officers
3313,Accounting Associate Professionals,"Valuers and Loss Assessors Financial and Mathematical commission basis. They recommend Associate Professionals transactions to clients or senior Sales and Purchasing Agents and management. Brokers Business Service Agents 3311.0100 Administrative and Specialized Broker, Share Market Secretaries Government Regulatory Associate Broker, Share-Market; Dalal, Share Market Professionals furnishes information to prospective 3331 Clearing and Forwarding Agents 3332 Conference and Event Planners 3334 Real Estate Agents and Property"
3323.9900,,"Managers 3339 Business Service Agents, Not Elsewhere Classified 3351 Customs and Border Inspectors 3352 Govt. Tax and Excise Officials 3353 Government Social Benefits Officials 3354 Government Licensing Officials 3355 Police Inspectors and Detectives 3359 Government Regulatory Associate Professionals, Not Elsewhere Classified Government social benefits officials examine applications for government, financial or service programmes to determine eligibility and amount of benefit or appropriate services, referring exceptional or important cases to senior government officials or Managers. 3353.0100 Village Level Worker Village Level Worker, Gram Sevak guides and assists villagers to lead better and fuller life. Visits various villages in his area and contacts people. Discusses their problems and assists in solving them. Fitness and Recreation Instructors and Programme Leaders Others, include instructors and programme leaders who lead, guide and instruct groups and individuals in recreational, fitness or outdoor adventure activities not elsewhere classified. ISCO 08 Unit Group Details: Code 3423 Title Fitness and Recreation Instructors and Programme Leaders Family 3431 Photographers operate still cameras to"
3423.0501,"photograph people, events, scenes, materials,","products and other subjects. 3431.0100 Photographer, General Photographer, General takes photograph of persons, places, or other subjects, using various kinds of photographic equipment. Measures day light using exposing meter or arranges artificial lighting and holds or places camera at desired angle and distance from subject to be"
3511,Information and Communication,QP NOS Name Domestic Biometric Technology Operations Data Operator Technicians NSQF Level 4
3512,Information and Communication,Technology User Support ISCO 08 Unit Group Details: Technicians Code 3511 Title Information and Communication
3513,Computer Network and Systems,Technology Operations Technician Technicians
3514,Web Technician,equipment manufacturers. Qualification Pack Details: QP NOS Reference ELE/Q4302 QP NOS Name Disk Duplic NSQF Level 4 Code 3512 Title Information and Communi Technology User Support
3514.0300,,"Technicians photographs persons, places and events with movie camera (cine) for purposes other than production of feature films. Loads cine camera with film either coloured or black and white as required. Visits place of interest, event or assembly. Holds or places camera at desired angle"
3521.0100,and distance from subject,"to be photographed; adjusts lens, aperture, depending on type of subject and lighting condition or arranges artificial light for better effect; focusses camera lens or lenses to subject holding his eye close to view finder or looking through film with eye-piece and exposes certain length of film by pressing lever to run motor inside camera. Alters angle or distance of shot as required. Unloads camera when film is exposed and sends film for developing. Views processed film against light and cuts and trims films to make desired strip of subject. Projects or exhibits film on screen using projector to explain events function, for audience. May develop and expected departure. Gets stay. Guides customers to maintains hotel 'Board' name of occupants, Hotel record up-to-date number of rooms already booked or reserved to to House Keepers, and kitchen departments customers to concerned Receives dak and"
4224.9900,,"4225 respond to personal, mail, and telephone complaints about the goods, services and information and refer 4412 Mail Carriers and Sorting Clerks 4413 Coding, Proof-Reading and Related Clerks 4414 Scribes and Related Clerks in 4415 Filing and Copying Clerks 4416 Personnel Clerks 4419 Clerical Support Workers, Not Elsewhere Classified service. Examines incoming purchases for quality and to ensure that purchases are as specified in order. Approves invoices or bills for payment. Co-ordinates work of non-cooking kitchen and storeroom workers engaged in activities such as dishwashing, silver cleaning and storage against theft and wastages. Confers with House Keeper concerning banquet arrangements for food service equipment"
5151.0202,and extra employees. May plan and price,"menus, keep cost records and budget controls to ensure profitable food service operation ISCO 08 Unit Group Details: Code 5151 Title Cleaning and Housekeeping Supervisors in Offices, Hotels and Other Establishments 5151.0400 Matron, House Keeping Matron, House Keeping; Controller of Household supervises work of staff in hostels, boarding houses, orphanages and other residential institutions and looks supervise and carryout housekeeping functions in hotels, clubs, boarding schools and other enterprises and institutions and in private households not elsewhere classified. Title Cleaning and Housekeeping Supervisors in Offices, Hotels and Other Establishments"
5151.0800,,"Family 5152 Domestic Housekeepers at of Domestic Housekeepers organize, supervise and carry out housekeeping functions in private households with or without the support of subordinate staff. in 5152.0100 House Keeper (Domestic) to of House Keeper (Domestic) organizes and supervises work of Domestic Servants for maintaining house in clean and orderly manner. Allots work to various staff under control and supervises their work. Ensures proper maintenance and cleanliness of house. Purchases provisions and other necessities as advised and maintains accounts. Looks after needs and comforts of guests and visitors. May also look after"
5161,"Astrologers, Fortune Tellers and",better prospects. Related Workers
5162,Companions and Valets,ISCO 08 Unit Group Details:
5163,Undertakers and Embalmers,Code 5161
5164,Pet Groomers and Animal Care,"Title Astrologers, Fortune Tellers and Workers Related Workers"
5165,Driving Instructors,
5241,Fashion and Other Models,Model
5242,Sales Demonstrators,"Model poses draped or nude for painting,"
5243,Door-to-Door Salespersons,drawing or clay modelling according to
5244,Contact Centre Salespersons,"directions of artists, modeller, sculptor or"
5245,Service Station Attendants,photographer. Poses according to
5246,Food Service Counter Attendants,"instructions of Artist, Modeller or Sculptor"
5249,Sales Workers Not Elsewhere,"in sitting standing, reclining position or in Classified act of doing work like pouring, lifting, Division Total Number of Job Roles 1 179 2 649 3 545 4 119 5 148 1640"
6111,Field Crop and Vegetable Growers,weeding and hoeing to conserve moisture.
6112,Tree and Shrub Crop Growers,Prepares manure by collecting and storing
6113,"Gardeners, Horticultural and","farmyard refuse into ditch and covering it Nursery Growers with earth. Sprays insecticides, evolves"
6114,Mixed Crop Growers,measures to protect crops from
6115,Medicinal and Aromatic Plant,destruction by plant diseases and wild Cultivators animals and nurses growing crops by picking wild growth. Harvests matured
6116,Agriculture Information,crops using sickle etc. Collects harvested Management Title Tree and Shrub Crop Grower 6112.0801 Rubber Nursery Worker-Budder Rubber Nursery Worker-Budder car He is responsible for the ti
6112.0601,,completion of bud grafting and seasonal activities assigned to facilitating smooth running of the nur and production of quality plan materials as envisaged by the organiza Qualification Pack Details: QP NOS Reference RSC/Q0935 QP NOS Name Rubber Nursery Worker-Budder NSQF Level 4 ISCO 08 Unit Group Details: Code 6112 Title Tree and Shrub Crop Grower Rubber Nursery Worker-General
6112.0701,,"Rubber Nursery Worker carries out all labour oriented nursery activities. H for responsible for the timely completio the all seasonal activities facilitating smo running of the nursery and productio quality planting materials as envisage the organization. Qualification Pack Details: QP NOS Reference RSC/Q0936 QP NOS Name Rubber Nursery Worker-General NSQF Level 4 6121 Livestock and Dairy Producers 6122 Poultry Producers 6123 Apiarists and Sericulturists Classified out the necessary operations to breed, raise and tend different types of livestock, such as cattle, sheep, pigs, goats and horses, as well as poultry, and to produce apiarian and sericultural products, for sale or delivery on a regular basis to wholesale buyers, marketing organizations or at markets. Code 6121 Title Livestock and Dairy Producers 6129.9900 Animal Producers and Related Workers, Other Market-Oriented Animal Producers and Related Workers, other include those"
6129.0100,which involve looking after and training of,"animals in animal reserves, stables, zoos, circuses, research organizations, animal homes, and similar institutions not 6221 Aquaculture Workers 6222 Inland and Coastal Waters Fishery Workers 6223 Deep-Sea Fishery Workers 6224 Hunters and Trappers Pisciculturist. Collects fingerlings or fish seed of different sizes and varieties and puts them in water in metal containers. Transports containers to desired areas and releases fingerlings in public rivers, tanks, ponds, etc. Assists Pisciculturist in experimental farms in transporting and releasing fish in water, feeding them etc."
